更新时间,#genre#
更新时间: 2024-12-26 17:38:32

台湾,#genre#
TVBS,http://125.227.210.55:8188/VideoInput/play.ts
TVBS,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS,https://stream1.freetv.fun/5ff69e6b2e5eea60dcf5154d7548e6180b5afa05f43fe358ab4084f11eaadf34.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS,P2p://generationnexxxt.com:19806/1b811ad38b0f47a393d0a76155b2fd44
TVBS,http://209.141.58.162:4994/proxy?url=http%3A//209.141.58.162%3A5050/litv/4gtv-4gtv073
TVBS,http://211.72.65.236:8575/.m3u8
TVBS,http://50.7.238.114:8278/tvbs/playlist.m3u8?tid=MDED5111960351119603&ct=19226&tsum=49931e2d3885c468d56ffae2c2db9e6e
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8575/.m3u8
TVBS,https://litv.zapi.us.kg/?id=4gtv-4gtv073
TVBS,mitv://generationnexxxt.com:19806/1b811ad38b0f47a393d0a76155b2fd44
TVBS,mitv://generationnexxxt.com:19806/9fb651a7ec2e402588a0752ba1035476
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS,http://209.141.58.162:4994/proxy?url=http%3A//209.141.58.162%3A5050/litv/4gtv-4gtv073
TVBS 歡樂台,https://litv.zapi.us.kg/?id=4gtv-4gtv068
TVBS 精采台,https://litv.zapi.us.kg/?id=4gtv-4gtv067
TVBS HD,http://fm1077.serv00.net/Smart.php?id=tvbs
TVBS新聞台,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
TVBS新聞台,http://fm1077.serv00.net/Smart.php?id=tvbs_n
TVBS歡樂台,http://fm1077.serv00.net/Smart.php?id=tvbshuanle_twn
中天娱樂,http://fm1077.serv00.net/Smart.php?id=ctient
中天新聞HD,http://fm1077.serv00.net/Smart.php?id=ctinews
中天綜合,http://fm1077.serv00.net/Smart.php?id=ctizhonghe
中天新聞台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中天亞洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8
中天亞洲台,https://litv.zapi.us.kg/?id=4gtv-4gtv109
中天亞洲台,http://fm1077.serv00.net/Smart.php?id=ctiasia_twn
東森新聞,http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8
東森新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv152
東森新聞,http://fm1077.serv00.net/Smart.php?id=ettvnews
東森戲劇,http://fm1077.serv00.net/Smart.php?id=ettvdrama
東森洋片,http://fm1077.serv00.net/Smart.php?id=ettvwestern
東森洋片,http://fm1077.serv00.net/Smart.php?id=ettvwestern
東森綜合,http://fm1077.serv00.net/Smart.php?id=ettvzhonghe
東森電影,http://fm1077.serv00.net/Smart.php?id=ettvmovie
東森電影,http://fm1077.serv00.net/Smart.php?id=ettvmovie
東森財經新聞,http://fm1077.serv00.net/Smart.php?id=ettvcaijing_twn
東森財經新聞,http://fm1077.serv00.net/Smart.php?id=ettvcaijing_twn
三立台灣台,http://125.227.210.55:8160/VideoInput/play.ts
三立台灣台,http://fm1077.serv00.net/Smart.php?id=sanlitaiwan
三立戲劇台,http://fm1077.serv00.net/Smart.php?id=sanlixiju_twn
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts
三立新聞,http://seb.sason.top/sc/sllive_fhd.m3u8
三立綜合台,http://aktv.top/AKTV/live/aktv/null-13/AKTV.m3u8
三立綜合台,http://fm1077.serv00.net/Smart.php?id=sanlizhonghe
台視,rtmp://f13h.mine.nu/sat/tv071
台視,http://fm1077.serv00.net/Smart.php?id=ttv_taiwan
台視新聞台,http://fm1077.serv00.net/Smart.php?id=ttvnews_twn
民視,rtmp://f13h.mine.nu/sat/tv051
民視,http://seb.sason.top/ptv/ftv.php?id=ms
民視,https://litv.zapi.us.kg/?id=4gtv-4gtv002
民視,rtmp://f13h.mine.nu/sat/tv051
民視,http://fm1077.serv00.net/Smart.php?id=ftvhd_taiwan
民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民視第一台,https://litv.zapi.us.kg/?id=4gtv-4gtv003
民視第一台,http://fm1077.serv00.net/Smart.php?id=lunghuajingdian_twn
民視新聞台,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民視新聞台,http://fm1077.serv00.net/Smart.php?id=ftvnew_taiwan
民視台灣台,https://litv.zapi.us.kg/?id=4gtv-4gtv001
民視台灣台,http://fm1077.serv00.net/Smart.php?id=ftvtaiwan_twn
民視綜藝台,https://litv.zapi.us.kg/?id=4gtv-4gtv004
中視,rtmp://f13h.mine.nu/sat/tv091
中視,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
中視,rtmp://f13h.mine.nu/sat/tv091
中視,http://fm1077.serv00.net/Smart.php?id=zhongshihd_twn
中視新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv074
中視新聞台,http://fm1077.serv00.net/Smart.php?id=zhongshinews_twn
中視經典台,https://litv.zapi.us.kg/?id=4gtv-4gtv080
中視菁采台,https://litv.zapi.us.kg/?id=4gtv-4gtv064
中視經典,http://fm1077.serv00.net/Smart.php?id=zhongshi_twn
八大戲劇,http://fm1077.serv00.net/Smart.php?id=badadrama
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大第一,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=badafirst
八大第一,p3p://108.181.32.169:28025/6425207f00050f7aea60732c51b94fad
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大第一,P2p://starvod.xyz:19806/480cb414334e45648eb2ea851401255f
八大第一,http://198.16.100.90:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大第一,http://198.16.100.90:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
八大第一,http://198.16.100.90:8278/badafirst/playlist.m3u8?tid=mb8efded78b4e12042621&ct=17874&tsum=028ad819cd9a0f949a043d652fa3e164
八大第一,http://211.72.65.236:8519/.m3u8
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大第一,http://cookies.elementfx.com/chaojidianshi/chaojidianshi.php?id=badafirst
八大第一,p3p://108.181.32.169:45270/6425207f00050f7aea60732c51b94fad
八大第一,http://fm1077.serv00.net/Smart.php?id=badafirst
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
八大第一,http://211.72.65.236:8519/.m3u8
八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
八大綜合,http://fm1077.serv00.net/Smart.php?id=badazhonghe
八大精彩台,https://litv.zapi.us.kg/?id=4gtv-4gtv034
八大綜藝台,https://litv.zapi.us.kg/?id=4gtv-4gtv039
寰宇新聞台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
寰宇新聞台,http://fm1077.serv00.net/Smart.php?id=huanyuxinwen_twn
寰宇新聞台灣台,http://209.141.58.162:4994/proxy?url=http%3A//209.141.58.162%3A5050/litv/litv-longturn15
寰宇新聞台灣台,https://ghp.ci/https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV41.m3u8
寰宇新聞台灣台,http://209.141.58.162:4994/proxy?url=http%3A//209.141.58.162%3A5050/litv/litv-longturn15
寰宇財經台,http://fm1077.serv00.net/Smart.php?id=huanyutaiwan_twn
華視,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
華視,http://seb.sason.top/sc/hsxw_fhd.m3u8
華視,http://fm1077.serv00.net/Smart.php?id=ctshd_twn
華視新聞,https://litv.zapi.us.kg/?id=4gtv-4gtv052
華藝綜合,http://fm1077.serv00.net/Smart.php?id=weishichinese_twn
公視,http://fm1077.serv00.net/Smart.php?id=ctv_taiwan
年代新聞台,http://fm1077.serv00.net/Smart.php?id=niandainews_twn
非凡新聞台,https://litv.zapi.us.kg/?id=4gtv-4gtv010
